納品データ,member_ id,種別,ニックネーム,スレッドURL,スレッドタイトル,スレッド本文,ルーム,テンション,タグ1,タグ2,タグ3,タグ4,タグ5,投稿日時
0417-0423,,,レオレオ,,THE ORAL CIGARETTESが今度…,THE ORAL CIGARETTESが今度ワンマンのツアーをするそうですが、その前にも地元の奈良でワンマンするそうですね。,THE ORAL CIGARETTES,ゆるーくおしゃべり,歌手,,,,,2014/4/28 22:11
0417-0423,,,レオレオ,,The Flickers (opening act)さんの,The Flickers (opening act)さんのHPにメンバーがとった写真が載っていますよね！あれいいですね！,The Flickers (opening act),ゆるーくおしゃべり,歌手,,,,,2014/4/27 17:21
0417-0423,,,レオレオ,,TRAMMPSさんの曲で…,TRAMMPSさんの曲ってあの有名な番組、なるほど！ザ・ワールドのテーマ曲として使われていたんですね！,TRAMMPS,ゆるーくおしゃべり,歌手,,,,,2014/4/28 20:22
0417-0423,,,レオレオ,,Trey Songzさんって前に,Trey Songzさんって前に日本人歌手のAIさんの作品に出たり、ライブで共演したりしたことがあるのですね！？,Trey Songz,ゆるーくおしゃべり,歌手,,,,,2014/4/30 8:21
0417-0423,,,レオレオ,,Trick Daddyさんって本当は？,Trick Daddyさんって今はムキムキなのでしょうか？昔の写真ではムキムキの画像があるのですが…,Trick Daddy,ゆるーくおしゃべり,歌手,,,,,2014/4/27 19:52
0417-0423,,,レオレオ,,Toni Braxtonさんの兄弟は,Toni Braxtonさんは６人姉弟ですよね？他の姉弟さんも芸能活動しているのですよね？,Toni Braxton,ゆるーくおしゃべり,歌手,R&B,,,,2014/4/28 1:03
0417-0423,,,レオレオ,,Tinie Tempahさんは１５歳から,Tinie Tempahさんは１５歳の時から、ミックステープをつくり始めたんですね。すごいですよね〜！私が１５歳の時なんて…,Tinie Tempah,ゆるーくおしゃべり,歌手,,,,,2014/4/29 7:46
0417-0423,,,レオレオ,,Timbalandさんの顔って,Timbalandさんってラッパーでもありますが、ヒップホップ・R＆B系音楽プロデューサーでもあって、色々な顔を持ってますよね。,Timbaland,ゆるーくおしゃべり,歌手,ヒップホップ,,,,2014/4/28 14:07
0417-0423,,,レオレオ,,Tiestoってとても有名,Tiestoさんって世界で最も有名なDJの1人とされているんですね！DJの世界はあまり分からないので…,Tiesto,ゆるーくおしゃべり,歌手,,,,,2014/4/29 19:07
0417-0423,,,レオレオ,,TiAさんっていち時期,TiAさんっていち時期、活動停止をしていたことがあったと思うのですが、なぜか分かりますか？,TiA,ゆるーくおしゃべり,歌手,,,,,2014/4/28 3:58
0417-0423,,,レオレオ,,SIZZLAがもっと日本に浸透するには？,SIZZLAがもっと日本に浸透するにはどうしたら良いと皆さんは思いますか～？,SIZZLA,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/27 21:17
0417-0423,,,レオレオ,,Stingのアルバムで聴いたときの思い出,Stingのアルバムで聴いたときの思い出を皆さん教えてくださいー！,Sting,ゆるーくおしゃべり,歌手,,,,,2014/4/27 20:34
0417-0423,,,レオレオ,,Sammy Hagarのボーカルについて,Sammy Hagarのボーカルについてですが、歌い方かっこいいですよね！皆さんはどんなところにホレましたか！？,Sammy Hagar,ゆるーくおしゃべり,歌手,,,,,2014/4/29 14:03
0417-0423,,,レオレオ,,Sheryl Crowが紙を染めるならば！,Sheryl Crowが紙を染めるならばどんな色が皆さん似合うと感じますか～？,Sheryl Crow,ゆるーくおしゃべり,歌手,,,,,2014/4/29 4:41
0417-0423,,,レオレオ,,Sean Paulの髪型を皆さんは変えてみましょう！,Sean Paulの髪型を皆さんは変えてみましょう！どんな髪型が似合うと思いますか～？,Sean Paul,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/29 10:54
0417-0423,,,レオレオ,,Shabba Ranksを知ったきっかけってなんですか？,Shabba Ranksを知ったきっかけってなんですか？知っておられる方が少ないものですから..,Shabba Ranks,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/28 21:50
0417-0423,,,レオレオ,,Shaggyってどんな人が聴くと思いますか？,Shaggyってどんな人が聴くと思いますか？彼に合う人柄を教えてー！,Shaggy,ゆるーくおしゃべり,歌手,レゲエ,,,,2014/4/28 6:14
0417-0423,,,レオレオ,,SMUJJIが注目された瞬間、どう思いますか？,SMUJJIが注目された瞬間、ファンの皆さんはどう思いますかー！？,SMUJJI,ゆるーくおしゃべり,歌手,,,,,2014/4/29 16:23
0417-0423,,,レオレオ,,The Rootsの感動したアルバムを教えてー！,The Rootsの感動したアルバムを教えてくださいー！私はDon't Say Nuthinですね！,The Roots,ゆるーくおしゃべり,歌手,,,,,2014/4/28 6:59
0417-0423,,,レオレオ,,The Spinnersの映像でよかった映像を教えて！,The Spinnersの映像でよかった映像を教えてください！youtubeでもＯＫ！,The Spinners,ゆるーくおしゃべり,歌手,,,,,2014/4/29 18:56
0417-0423,,,レオレオ,,The Stylisticsが好きになった理由を教えてー！,The Stylisticsが好きになった理由を教えてくださいー！皆さんは感性を聞かせて！,The Stylistics,ゆるーくおしゃべり,歌手,,,,,2014/4/28 9:13
0417-0423,,,レオレオ,,皆さんはThe Supremesをどんなときに聴いている？,皆さんはThe Supremesの歌や作曲ををどんなときに聴いていますか～？,The Supremes,ゆるーくおしゃべり,歌手,,,,,2014/4/29 12:51
0417-0423,,,レオレオ,,The Temptationsがロックの殿堂入りして,The Temptationsがロックの殿堂入りして皆さんはどう思いますかー！？,The Temptations,ゆるーくおしゃべり,歌手,,,,,2014/4/27 19:35
0417-0423,,,レオレオ,,THE THREE DEGREESに新しいメンバーを入れるとしたら！,THE THREE DEGREESは昔入れ替わりが激しかったわけですが、今、新しいメンバーを入れるとしたら！誰が良いと思いますか？,THE THREE DEGREES,ゆるーくおしゃべり,歌手,,,,,2014/4/28 4:38
0417-0423,,,レオレオ,,The Trammpsのいけてる映像を教えてー！,The Trammpsのいけてる映像ってなんですか～？なんの曲の映像ですか！？,The Trammps,ゆるーくおしゃべり,歌手,,,,,2014/4/28 22:29
0417-0423,,,レオレオ,,The Weather Girlsを知ったきっかけって？,The Weather Girlsを知ったきっかけってなんですか？あまり知っている人がいないので。,The Weather Girls,ゆるーくおしゃべり,歌手,,,,,2014/4/29 11:03
0417-0423,,,レオレオ,,The Yellow Monkeyに応援の声をかけるなら！,The Yellow Monkeyに応援の声をかけるならどんな声をかけちゃいますかー！？,The Yellow Monkey,ゆるーくおしゃべり,歌手,,,,,2014/4/29 15:30
0417-0423,,,レオレオ,,The-Dreamを知ったきっかけを教えてー！,The-Dreamを知ったきっかけを教えてください！私は学校の友達から勧められました！,The-Dream,ゆるーくおしゃべり,歌手,,,,,2014/4/29 10:57
0417-0423,,,レオレオ,,THEGZETTEのライブの思い出をゆるりと！,THEGZETTEのライブの思い出をゆるりとみんなで語り合いましょうぞー！,THEGZETTE,ゆるーくおしゃべり,歌手,,,,,2014/4/28 12:15
